TYPE,COUNT,CATEGORY
MICROBIOME OBSERVATION,3,OTHER
GENETIC DAMAGE PROCESS,3,OTHER
MICROBIOME MECHANISM,3,OTHER
EVIDENCE SYNTHESIS,3,OTHER
TOPICAL PRODUCT EXPOSURE,3,OTHER
STUDY CRITERIA,3,OTHER
PRESERVATIVE COMBINATION,3,OTHER
LOW-ABUNDANCE BACTERIAL TAXA,3,OTHER
MODEL FEATURES,3,OTHER
BACTERIAL TAXONOMIC RANKS,3,OTHER
TEMPORAL SUBSETS,3,OTHER
OFFSPRING DEVELOPMENT PROCESS,3,OTHER
FEED INGREDIENT APPLICATION,3,OTHER
ANTINUTRITIONAL COMPOUND,3,OTHER
ANALYTICAL SEPARATION TECHNIQUE,3,OTHER
QUALITY ASSESSMENT KIT,3,OTHER
CHROMATOGRAPHY DATA,3,OTHER
SENSORY QUALITY TRAIT,3,OTHER
VOLATILE AMINE METABOLITE,3,OTHER
NUTRIENT ABSORPTION IMPAIRMENT,3,OTHER
FATTY ACID SALT,3,OTHER
HISTOLOGICAL EXAMINATION,3,OTHER
BROILER PHENOTYPIC TRAIT,3,OTHER
BROILER GROWTH PARAMETER,3,OTHER
HEPATIC OXIDATIVE STRESS MARKER,3,OTHER
SERUM ANTIOXIDANT PARAMETER,3,OTHER
LIPID DECOMPOSITION ENZYME,3,OTHER
LIPID DECOMPOSITION PROTEIN,3,OTHER
IMMUNOLOGICAL CHALLENGE,3,OTHER
LIPASE ACTIVATOR PROTEIN,3,OTHER
SCIENTIFIC METHOD,3,OTHER
QUANTITATIVE RESEARCH ANALYSIS METHOD,3,OTHER
NETWORK PRUNING ALGORITHM,3,OTHER
BIBLIOMETRIC PROPERTY,3,OTHER
PERIODONTAL DISEASE MARKER,3,OTHER
ANTIMICROBIAL PEPTIDE SEQUENCE VARIATION,3,OTHER
PATHOGENIC MICROBE,3,OTHER
PRESERVATION PROPERTY,3,OTHER
PEPTIDE NOMENCLATURE,3,OTHER
HETEROTHERMIC ANIMAL,3,OTHER
PERFUSION SOLUTION,3,OTHER
QPCR PROTOCOL,3,OTHER
PLANT HEALTH CATEGORY,3,OTHER
FUNGAL METABARCODING METHOD,3,OTHER
CONTAMINATION DETECTION METHOD,3,OTHER
INFLAMMASOME ADAPTER PROTEIN,3,OTHER
BRAIN REGION IN DISEASE STATE,3,OTHER
ACTIVATED MICROGLIA MARKER,3,OTHER
OPIOID METABOLITE,3,OTHER
ENDOCANNABINOID METABOLITE,3,OTHER
NEUROPATHOLOGICAL MARKERS,3,OTHER
BACTERIAL COLONIZATION ABILITY,3,OTHER
IMMUNE SIGNALING MOLECULE EXPRESSION,3,OTHER
BACTERIAL ORIGIN,3,OTHER
LOW-ABUNDANCE OTU,3,OTHER
EXPERIMENTAL ENDPOINT,3,OTHER
ANTICOAGULANT DRUG CLASS,3,OTHER
ANTICOAGULANT DRUG DOSE,3,OTHER
MICROBIAL COMMUNITY DIFFERENTIATION,3,OTHER
COAGULATION MEASUREMENTS,3,OTHER
DOSE-DEPENDENT DRUG EXPOSURE,3,OTHER
DRUG RESPONSE PHENOTYPE,3,OTHER
THERMAL INACTIVATION CONDITION,3,OTHER
BACTERIAL MORPHOLOGICAL CLASSIFICATION,3,OTHER
ANTIMICROBIAL TREATMENT PRACTICE,3,OTHER
PROTEIN FUNCTIONAL CLASSIFICATION,3,OTHER
PHAGE PRODUCT,3,OTHER
PRODUCT AVAILABILITY,3,OTHER
BACTERIAL POPULATION GROWTH,3,OTHER
PHAGE ADMINISTRATION ROUTE,3,OTHER
FORMULATION FEATURE,3,OTHER
PRODUCT DEVELOPMENT STRATEGY,3,OTHER
SEDENTARY BEHAVIOR,3,OTHER
DIETARY PHYTOCHEMICAL,3,OTHER
DIETARY AMINO ACID,3,OTHER
MICROBIAL METABOLIC AND FUNCTIONAL COMPOSITION,3,OTHER
INTERACTION SET,3,OTHER
CORRELATION TEST,3,OTHER
CELL WALL REMODELING ENZYME,3,OTHER
GENETIC SELECTION TARGET,3,OTHER
CIRCADIAN MEAL TIMING PATTERN,3,OTHER
DIETARY QUALITY THRESHOLD,3,OTHER
EXCLUDED STUDY POPULATION,3,OTHER
COMMUNICATION METHOD,3,OTHER
CRYSTALLIZATION PROCESS,3,OTHER
CIRCADIAN PHYSIOLOGICAL PROCESS,3,OTHER
CIRCADIAN PHYSIOLOGICAL PARAMETER,3,OTHER
INFLAMMATORY SKIN LESION,3,OTHER
SKIN BARRIER IMPAIRMENT,3,OTHER
ANTIBODY PRODUCTION,3,OTHER
MORPHOMETRIC ANALYSIS METHOD,3,OTHER
INFLAMMATORY PATHWAY SUPPRESSION,3,OTHER
STRUCTURAL CLASSIFICATION,3,OTHER
IMMUNOGLOBULIN E MEASUREMENT,3,OTHER
TYPE-2 CYTOKINE,3,OTHER
TYPE-17 CYTOKINE,3,OTHER
NERVE CELL TYPE,3,OTHER
ITCH SENSATION,3,OTHER
COMMENSAL BACTERIAL SPECIES,3,OTHER
PREBIOTIC DOSE COMPARISON,3,OTHER
COMPOSITE HEALTH MEASURE,3,OTHER
CORE MICROBIOME CRITERION,3,OTHER
ORAL DISEASE BURDEN GRADIENT,3,OTHER
SYSTEMIC INFECTIOUS DISEASE,3,OTHER
ORAL DISEASES,3,OTHER
PARASITE-MICROBIOTA INTERACTION,3,OTHER
BACTERIAL TAXONOMIC FEATURE,3,OTHER
PARASITE SUBTYPE,3,OTHER
BIOMARKER DISCOVERY TOOL,3,OTHER
GENOMIC ASSEMBLY FEATURE,3,OTHER
GEOGRAPHIC ENVIRONMENT,3,OTHER
ENVIRONMENTAL CHARACTERISTICS,3,OTHER
GENOMIC FINDINGS,3,OTHER
IMMUNOTHERAPEUTIC STRATEGY,3,OTHER
CLINICAL TRIAL STAGE,3,OTHER
PHYLOGENETIC VISUALIZATION SOFTWARE,3,OTHER
SEQUENCING CONSUMABLE,3,OTHER
PHYLOGENETIC ANNOTATION,3,OTHER
FATTY ACID METABOLIC PATHWAY,3,OTHER
INTEGRATED GENOMIC ANALYSIS,3,OTHER
COPD SEVERITY CLASSIFICATION,3,OTHER
COPD SEVERITY STAGE,3,OTHER
DISEASE SUSCEPTIBILITY STATE,3,OTHER
ORAL MICROBIOTA COMPOSITION,3,OTHER
HOST ANATOMICAL FEATURE,3,OTHER
MICROBIAL ECOLOGICAL BALANCE,3,OTHER
SLEEP BEHAVIOR,3,OTHER
NEUROENDOCRINE REGULATION,3,OTHER
LABORATORY RODENT STRAIN,3,OTHER
ANIMAL HUSBANDRY CONDITION,3,OTHER
PRESSURE MEASUREMENT DEVICE,3,OTHER
INFLAMMATORY FACTORS,3,OTHER
ACUPUNCTURE POINT STIMULATION,3,OTHER
NEUROPATHOLOGICAL CONDITION,3,OTHER
ANTIBIOTIC-TREATED HYPERTENSIVE RAT MODEL,3,OTHER
HYPERTENSIVE ANIMAL MODEL,3,OTHER
MICROBIAL COMMUNITY AND GENETIC MATERIAL,3,OTHER
LOSARTAN ACTIVE METABOLITE,3,OTHER
NORMOTENSIVE RAT STRAIN,3,OTHER
RAT STRAINS,3,OTHER
IN VITRO ASSAY,3,OTHER
SPONTANEOUSLY HYPERTENSIVE RAT STRAIN,3,OTHER
ANTIBIOTIC-TREATED NORMOTENSIVE RAT MODEL,3,OTHER
MICROBIAL COMMUNITY DYSREGULATION,3,OTHER
NANOPARTICLE COMPOSITION,3,OTHER
NUTRIENT DELIVERY MECHANISM,3,OTHER
SUSTAINABILITY BENEFIT,3,OTHER
NANOPARTICLE FEATURE,3,OTHER
INTERDISCIPLINARY APPROACH,3,OTHER
AGRICULTURAL PARADIGM,3,OTHER
ALTERED METABOLITES,3,OTHER
METABOLOMICS DATABASE,3,OTHER
PHTHALIDE,3,OTHER
METABOLIC PATHWAY MAP,3,OTHER
PRIMATE INFANT,3,OTHER
MATERNAL CARE BEHAVIOR,3,OTHER
SOCIAL LEARNING BEHAVIOR,3,OTHER
SOIL SOURCE,3,OTHER
GENETIC REGION,3,OTHER
QUANTITATIVE DESCRIPTOR,3,OTHER
SOIL NUTRIENT DEFICIENCY,3,OTHER
LOW-ABUNDANCE OTUS,3,OTHER
MICROBIOME NETWORK,3,OTHER
COMMUNITY ASSEMBLY PRINCIPLE,3,OTHER
HUB TAXA,3,OTHER
EXPERIMENTAL CONTROL SAMPLE,3,OTHER
EXPERIMENTAL CONTROL METHOD,3,OTHER
EXPERIMENTAL CONTROL MEASURE,3,OTHER
EXACT SEQUENCE VARIANTS,3,OTHER
METHODOLOGICAL STANDARDIZATION,3,OTHER
PLANT GROWTH PROMOTION FUNCTION,3,OTHER
PREVALENCE CHARACTERISTIC,3,OTHER
MULTISPECIES INFECTION,3,OTHER
LOSS-OF-FUNCTION MUTATION,3,OTHER
MICROFABRICATION TEMPLATE,3,OTHER
PHOTORESIST LAYER,3,OTHER
WASHING PROCEDURE,3,OTHER
MICROFLUIDIC CHAMBER,3,OTHER
FUNGAL MORPHOTYPE,3,OTHER
COMMUNITY ORGANIZATION,3,OTHER
LUNG TISSUE STRUCTURE,3,OTHER
SPATIAL ORIENTATION,3,OTHER
FUNGAL PHENOTYPIC TRAIT,3,OTHER
ECOLOGICAL RESULT,3,OTHER
BIOLOGICAL AND ECOLOGICAL FACTORS,3,OTHER
PCR BLOCKING AGENT,3,OTHER
PLANT CULTIVAR WITH SENSORY TRAIT,3,OTHER
PLANT GENOTYPE WITH PHENOTYPE,3,OTHER
STATISTICAL MODELING,3,OTHER
GROWTH-PROMOTING HORMONE,3,OTHER
SERUM ENZYME INDICATOR,3,OTHER
GAS CHROMATOGRAPHY COLUMN,3,OTHER
ALTITUDE-BASED GROUP,3,OTHER
ADAPTIVE OUTCOME,3,OTHER
VITAMIN A METABOLITES,3,OTHER
ENVIRONMENTAL SELECTION PRESSURE,3,OTHER
CHEMOTACTIC RESPONSE,3,OTHER
CHEMOTAXIS ASSAY METHOD,3,OTHER
MOTILITY MECHANISM,3,OTHER
DEVICE,3,OTHER
FUNCTIONAL MOLECULE CLASS,3,OTHER
ONCOLYTIC VIRUS,3,OTHER
MAJOR HISTOCOMPATIBILITY COMPLEX CLASS I,3,OTHER
CANCER CELL CULTURE MODEL,3,OTHER
IMMUNOSUPPRESSIVE EFFECT,3,OTHER
EPIGENETIC MODIFIER,3,OTHER
PATIENT INFECTION STATUS,3,OTHER
BONE STRUCTURE,3,OTHER
INJURY,3,OTHER
INTRA-ARTICULAR TREATMENT,3,OTHER
TISSUE MODIFICATION,3,OTHER
DIAGNOSTIC AND THERAPEUTIC PROCEDURE,3,OTHER
JOINT FLUID,3,OTHER
BIOLOGIC IMMUNOSUPPRESSIVE DRUG,3,OTHER
SPATIAL IMMUNE RESPONSE PATTERN,3,OTHER
ANTIVIRAL CYTOKINE,3,OTHER
IMAGE PROCESSING METHOD,3,OTHER
CYTOKINE RESPONSE PATHWAY,3,OTHER
MEMBRANE-IMPERMEABLE TRACER,3,OTHER
CONDITIONAL KNOCKOUT MICE,3,OTHER
TLR SIGNALING ADAPTOR PROTEIN,3,OTHER
CYTOKINE SOURCE,3,OTHER
NEURONAL SYNAPTIC PROPERTY,3,OTHER
SYNAPTIC PLASTICITY DEFICIT,3,OTHER
ELECTROPHYSIOLOGICAL ASSAY,3,OTHER
ELECTROPHYSIOLOGICAL RECORDING COMPONENT,3,OTHER
ELECTRICAL STIMULATION METHOD,3,OTHER
EXPERIMENTAL STIMULUS PROTOCOL,3,OTHER
NEURONAL RESPONSE,3,OTHER
ELECTROPHYSIOLOGICAL MEASURE,3,OTHER
NEUROPHYSIOLOGICAL IMPAIRMENT,3,OTHER
SYNAPTIC PLASTICITY MEASURE,3,OTHER
GENE-MICROBE ASSOCIATION,3,OTHER
GENOMIC LIBRARY,3,OTHER
GENETIC MATRIX,3,OTHER
VARIANT DATA,3,OTHER
EXPERIMENTAL EQUIPMENT,3,OTHER
NUTRIENT MEDIUM,3,OTHER
STANDARD COMPOUND,3,OTHER
BEHAVIORAL TRAITS,3,OTHER
POPULATION DATABASE,3,OTHER
DYSREGULATED SIGNALING STATE,3,OTHER
ACTIVE COMPOUND COMBINATION,3,OTHER
METABOLITE QUANTIFICATION ASSAY,3,OTHER
LIVER FIBROSIS MEASURE,3,OTHER
HEPATIC PATHOLOGY MEASURE,3,OTHER
DISEASE MEDIATOR,3,OTHER
FUNGAL-MICROBIAL SYMBIOTIC STRUCTURE,3,OTHER
GARDEN REGION,3,OTHER
FUNGAL GARDEN COMPARTMENT,3,OTHER
MICROSCOPIC DATA,3,OTHER
MICROSCOPIC FEATURE,3,OTHER
HOST DEFENSE IMPAIRMENT,3,OTHER
NUMERICAL MEASUREMENTS,3,OTHER
MICROBIAL SPECIES SET,3,OTHER
PATIENT COHORT WITH SINGLE MP INFECTION,3,OTHER
PATHOGENIC INTERACTION MECHANISM,3,OTHER
MICROBIAL FUNCTIONAL CLASS,3,OTHER
RICE VARIETY PAIR,3,OTHER
PLANT GENETIC CHARACTERISTIC,3,OTHER
HARVEST DATE,3,OTHER
EXTRACTION MEDIUM,3,OTHER
SEQUENCE ANNOTATION,3,OTHER
SOFTWARE FUNCTIONS,3,OTHER
MICROBIAL METABOLIC EFFICIENCY,3,OTHER
PLANT BIOCHEMICAL PROCESS,3,OTHER
MICROBIAL FUNCTIONAL GENE CHANGE,3,OTHER
MICROBIAL NUTRIENT LIMITATION STATE,3,OTHER
RICE VARIETY COMPARISON,3,OTHER
CANCER CELL GROWTH,3,OTHER
FOOD USE,3,OTHER
ANTIOXIDANT TRIPEPTIDE,3,OTHER
EXPERIMENTAL CHEMICAL,3,OTHER
COLLAGENASE ENZYME,3,OTHER
SKIN HYDRATION PROPERTY,3,OTHER
GLYCOSAMINOGLYCAN SYNTHASE,3,OTHER
GLYCOSAMINOGLYCAN HYDROLASE,3,OTHER
ENGINEERED YEAST STRAIN,3,OTHER
AGING-RELATED INFLAMMATORY STATE,3,OTHER
RESEARCH TARGET,3,OTHER
MICROBIAL GENETIC RESOURCE,3,OTHER
MICROBIOLOGICAL ISOLATION METHOD,3,OTHER
ENZYME SYNTHESIS,3,OTHER
ELUTION CONDITION,3,OTHER
KINETIC ANALYSIS METHOD,3,OTHER
GEL COMPOSITION,3,OTHER
HEMICELLULOLYTIC ENZYME,3,OTHER
ENZYME DISCOVERY,3,OTHER
INNATE-LIKE LYMPHOCYTE POPULATION,3,OTHER
BRAIN INJURY CONDITION,3,OTHER
SELECTIVE AUTOPHAGY PATHWAY,3,OTHER
NEURAL ADAPTATION,3,OTHER
POSTSYNAPTIC SCAFFOLDING PROTEIN,3,OTHER
SYNAPTIC STRUCTURAL INTEGRITY,3,OTHER
SYNAPTIC VESICLE PROTEIN,3,OTHER
CELL ABUNDANCE MEASUREMENT,3,OTHER
MITOCHONDRIAL QUALITY CONTROL PATHWAY,3,OTHER
AGRICULTURAL PRODUCTION FACILITY,3,OTHER
UDDER HEALTH INDICATOR,3,OTHER
TEMPORAL CHARACTERIZATION,3,OTHER
UDDER HEALTH STATUS,3,OTHER
ECOLOGICAL DISTRIBUTION,3,OTHER
PATHOGEN DISTRIBUTION PATTERN,3,OTHER
PROFILE CHARACTERISTIC,3,OTHER
NON-PATHOGENIC MICROORGANISMS,3,OTHER
METABOLIC SIGNALING MOLECULES,3,OTHER
HOST MEASUREMENTS,3,OTHER
DEVELOPMENTAL PROPERTY,3,OTHER
TEMPORAL SAMPLING INTERVALS,3,OTHER
INTERNAL REFERENCE GENE,3,OTHER
PLANT TISSUE PREPARATION,3,OTHER
OOMYCETE REPRODUCTIVE TRAIT,3,OTHER
FUNCTIONAL MECHANISM,3,OTHER
PATHOGENIC OOMYCETE,3,OTHER
MEASUREMENT LEVEL,3,OTHER
OBSERVABLE CHARACTERISTIC,3,OTHER
MOUSE OFFSPRING,3,OTHER
HOMOGENIZATION PARAMETER,3,OTHER
SIMULATION,3,OTHER
SAMPLING LEVEL,3,OTHER
MEASUREMENT PRECISION,3,OTHER
MEASUREMENT INTERPRETATION,3,OTHER
GEOGRAPHIC GRADIENT,3,OTHER
AGROECOLOGICAL MANAGEMENT PRACTICE,3,OTHER
ECOLOGICAL GOAL,3,OTHER
ECOSYSTEM RESILIENCE PROPERTY,3,OTHER
HIGH-ABUNDANCE BACTERIAL COMMUNITY,3,OTHER
LOW-ABUNDANCE FUNGAL TAXON,3,OTHER
HIGH-ABUNDANCE FUNGAL TAXON,3,OTHER
FARMING MANAGEMENT APPROACH,3,OTHER
FUNCTIONAL GENOMIC METHOD,3,OTHER
DISEASE ETIOLOGY FACTORS,3,OTHER
CONTROL SUBJECTS,3,OTHER
ABUNDANCE QUANTIFICATION,3,OTHER
BACTERIAL ENZYMES,3,OTHER
GENETIC ELEMENT LOCATION,3,OTHER
ECOLOGICAL NICHE STATE,3,OTHER
WATER QUALITY PARAMETERS,3,OTHER
PARASITIC HELMINTH,3,OTHER
COCCIDIAN GENUS,3,OTHER
MICROBIOTA PREPARATION,3,OTHER
LIPID LEVEL CHANGE,3,OTHER
IMMUNE CELL VIABILITY,3,OTHER
IMMUNE CELL POPULATION STATE,3,OTHER
STATISTICAL CHARACTERISTIC,3,OTHER
HOST-MICROBE INTERACTION PROCESS,3,OTHER
SIDEROPHORE BIOSYNTHESIS GENE,3,OTHER
IRON-BOUND SIDEROPHORE,3,OTHER
BIOSYNTHETIC GENE CLUSTER PREDICTION TOOL,3,OTHER
BIOSYNTHETIC GENE CLUSTER COMPARISON TOOL,3,OTHER
SEQUENCE HOMOLOGY RESULT,3,OTHER
GENE CONFIGURATION,3,OTHER
METALLOPHORE RECEPTOR PROTEIN,3,OTHER
BIOSYNTHETIC ENZYME SYSTEM,3,OTHER
PLANT TISSUE COMPONENT,3,OTHER
BACTERIAL MEMBRANE,3,OTHER
MONOSACCHARIDE PRODUCT,3,OTHER
EXPERIMENTAL CHARACTERIZATION,3,OTHER
MEMBRANE TRANSPORTER CLASS,3,OTHER
ARCHAEAL CELLS,3,OTHER
PROTEIN BUFFER,3,OTHER
CRYSTALLOGRAPHIC DATA,3,OTHER
CRYSTALLOGRAPHIC PROPERTY,3,OTHER
STRUCTURAL DATABASE,3,OTHER
TEMPERATURE CONTROL METHOD,3,OTHER
PRESSURE CONTROL METHOD,3,OTHER
CARBOHYDRATE BACKBONE,3,OTHER
THERAPEUTIC RESISTANCE MECHANISM,3,OTHER
DATA VISUALIZATION AND ANALYSIS,3,OTHER
POST-TRANSLATIONAL MODIFICATION STATE,3,OTHER
ENZYME CATALYTIC FUNCTION,3,OTHER
ENZYMATIC STEP,3,OTHER
RADIOFREQUENCY TREATMENT MODALITY,3,OTHER
GENITAL SYMPTOM,3,OTHER
TOPICAL FORMULATION,3,OTHER
MICROBIOLOGICAL CLASSIFICATION,3,OTHER
MICROBIOTA CLASSIFICATION SYSTEM,3,OTHER
VAGINAL ACIDITY MEASUREMENT,3,OTHER
HORMONE THERAPY COHORT,3,OTHER
HORMONE-BASED TREATMENT,3,OTHER
RNA POLYMERASE,3,OTHER
BIOCHEMICAL INDICATORS,3,OTHER
TRANSLATIONAL REGULATION MECHANISM,3,OTHER
IMAGING PROTOCOL,3,OTHER
IMAGING VIEW,3,OTHER
PHYSICAL CONDITIONING REGIMEN,3,OTHER
HEALTH FACTOR,3,OTHER
HORSE POPULATION,3,OTHER
PHYSIOLOGICAL NEED,3,OTHER
CARDIAC CHANGE,3,OTHER
TRAINING OUTCOME GROUP,3,OTHER
PHYSIOLOGICAL FRAMEWORK,3,OTHER
UNFERMENTED FUNCTIONAL FOOD,3,OTHER
LEGUME VARIETY,3,OTHER
FILTER,3,OTHER
CITRATE CYCLE INTERMEDIATE,3,OTHER
HEPATIC SIGNALING PATHWAY,3,OTHER
ARSENIC METABOLITE,3,OTHER
ADDITIVE INTERACTION MEASURE,3,OTHER
INTERACTION MEASURE,3,OTHER
CARCINOGENIC MECHANISM,3,OTHER
ARSENIC TOXICITY PHENOTYPE,3,OTHER
DIAGNOSTIC MICROSCOPY METHOD,3,OTHER
DIAGNOSTIC STAINING METHOD,3,OTHER
MIXED INFECTION PHENOTYPE,3,OTHER
SEXUALLY TRANSMITTED DISEASE,3,OTHER
REPRODUCTIVE TRACT INFECTION,3,OTHER
FUNGAL MORPHOLOGICAL STRUCTURES,3,OTHER
HEALTH ISSUE,3,OTHER
CHALLENGE CATEGORY,3,OTHER
PUBLIC KNOWLEDGE,3,OTHER
IMMUNE SYSTEM DYSREGULATION,3,OTHER
MICROBIAL DYSREGULATION STATE,3,OTHER
DISEASE ABSENCE,3,OTHER
STOOL CONSISTENCY CLASSIFICATION,3,OTHER
MUCOSAL IMMUNE AXIS,3,OTHER
REARING SYSTEM,3,OTHER
COLONIZATION CAPACITY,3,OTHER
COMBINED PROBIOTIC AND PREBIOTIC TREATMENT,3,OTHER
MICROBIAL POPULATION LEVEL,3,OTHER
PROBIOTIC TREATMENT WITH DOSE VARIATION,3,OTHER
EXPERIMENTAL FISH,3,OTHER
HIGH-DOSE PROBIOTIC TREATMENT,3,OTHER
MICROBIAL CHALLENGE,3,OTHER
AQUACULTURE PHENOTYPE,3,OTHER
PROBIOTIC SUPPLEMENTATION CONDITION,3,OTHER
REGULATORY PROGRAM,3,OTHER
SENSOR PROTEIN,3,OTHER
STONE DEGRADATION PROCESS,3,OTHER
CULTURAL HERITAGE SITE,3,OTHER
FLUORESCENCE-BASED QUANTIFICATION INSTRUMENT,3,OTHER
NETWORK SUBSET,3,OTHER
BACTERIAL AND FUNGAL PHYLA,3,OTHER
CONTROL NETWORK,3,OTHER
NITRIFYING ARCHAEAL GENUS,3,OTHER
REFERENCE TIMEPOINT,3,OTHER
TEST DATASET,3,OTHER
SIMULATED MICROBIOME DATA,3,OTHER
ANALYTICAL MODELS,3,OTHER
PUBLISHED STUDY,3,OTHER
COMBINED FEATURE SET,3,OTHER
CHANGE-BASED DATASET,3,OTHER
SIMULATED MICROBIOME DATASET,3,OTHER
RESEARCH DESIGN LIMITATION,3,OTHER
EDUCATIONAL INSTITUTION,3,OTHER
RESEARCH AND EDUCATIONAL FRAMEWORK,3,OTHER
HEALTHCARE BARRIER,3,OTHER
PERSONALITY TRAIT CATEGORY,3,OTHER
EXPERIMENTAL STRESSOR,3,OTHER
SEX PHENOTYPE,3,OTHER
BEHAVIORAL PHENOTYPE ASSOCIATION,3,OTHER
METABOLIC AND FUNCTIONAL PATHWAYS,3,OTHER
SHORT-CHAIN FATTY ACID METABOLIC PATHWAY,3,OTHER
MICROBIAL COMMUNITY IN DEPRESSION PATIENTS,3,OTHER
PSYCHIATRIC MANIFESTATION,3,OTHER
PSYCHIATRIC ASSESSMENT QUESTIONNAIRE,3,OTHER
PSYCHIATRIC SYMPTOMS,3,OTHER
SEVERE CLINICAL OUTCOME,3,OTHER
ACTIVE MICROBIAL COMMUNITY,3,OTHER
TRANSCRIPTOMIC MATERIAL,3,OTHER
RNA LIBRARY PREPARATION KIT,3,OTHER
SEQUENCING DATA FRACTION,3,OTHER
MITOCHONDRIAL RIBOSOMAL PROTEIN,3,OTHER
TISSUE INHIBITOR OF METALLOPROTEINASE,3,OTHER
IMMUNE AND INFLAMMATORY SIGNALING PATHWAY,3,OTHER
GLYCEMIC MEASURE,3,OTHER
DEPRESSION ASSESSMENT TOOL,3,OTHER
COGNITIVE OUTCOME MEASURE,3,OTHER
MISSING DATA HANDLING METHOD,3,OTHER
STUDY GROUP WITH BLACK STAIN AND CARIES-FREE,3,OTHER
STUDY GROUPS WITH CARIES,3,OTHER
MICROBIAL COMMUNITY INTERACTION NETWORK,3,OTHER
BIOFILM PROCESS,3,OTHER
ORAL DISEASE PHENOTYPE,3,OTHER
ENTEROENDOCRINE CELL SUBTYPE,3,OTHER
G PROTEIN COUPLED RECEPTOR SIGNALING PATHWAY,3,OTHER
PANETH CELL MARKER,3,OTHER
TISSUE COMPARTMENTS,3,OTHER
PEPTIDE HORMONE AND AGONIST,3,OTHER
GENETIC CONTRIBUTION MEASURE,3,OTHER
GENETIC VARIANT ASSOCIATED WITH LUNG FUNCTION,3,OTHER
PATHWAY GENE,3,OTHER
INTEGRATED OMICS FEATURES,3,OTHER
GENOME-WIDE ASSOCIATION DATABASE,3,OTHER
NETWORK MODULE METRIC,3,OTHER
CO-METHYLATION MODULES,3,OTHER
CT SCAN-BASED QUANTITATIVE MEASURE,3,OTHER
HEALTHCARE SETTING,3,OTHER
FEVER PHASE,3,OTHER
FEVER-REDUCING MEDICATION,3,OTHER
EVALUATION CRITERIA,3,OTHER
EXPECTED OUTCOME,3,OTHER
INFECTION OUTCOME MEASURE,3,OTHER
CLINICAL DISEASE MANIFESTATION,3,OTHER
PARASITE LOAD MEASURE,3,OTHER
PARASITE STRAIN,3,OTHER
PARASITE INFECTION MEASURE,3,OTHER
ANTIMALARIAL DRUG REGIMEN,3,OTHER
SEQUENCING PRIMERS,3,OTHER
BASELINE MICROBIOTA STATE,3,OTHER
MICROBIOTA COMPOSITION CLUSTER,3,OTHER
DISEASE SEVERITY OUTCOME,3,OTHER
MICROBIOTA CLUSTER AND PARASITOLOGICAL OUTCOME,3,OTHER
PARASITEMIA RISK,3,OTHER
MICROBIOME STABILITY,3,OTHER
MICROBIAL ABSENCE,3,OTHER
COMBINED ANALYTICAL METHOD,3,OTHER
ORAL HEALTH PARAMETER,3,OTHER
MICROBIAL BIOFILM CHARACTERISTIC,3,OTHER
TH2-ASSOCIATED CYTOKINE,3,OTHER
TH1-ASSOCIATED CYTOKINE,3,OTHER
TOLL-LIKE RECEPTOR 2 GENE,3,OTHER
TOLL-LIKE RECEPTOR 4 GENE,3,OTHER
PHOSPHORYLATED PROTEIN GROUP,3,OTHER
MICROBIAL TAXA ENRICHMENT,3,OTHER
CANCER HALLMARK,3,OTHER
CANCER CELL PROLIFERATION,3,OTHER
BIOINFORMATICS SCRIPT,3,OTHER
CHEMICAL COMPOUND METABOLITE,3,OTHER
GUANIDINE COMPOUND METABOLITE,3,OTHER
CANCER METABOLIC PROCESS,3,OTHER
PLANT DEVELOPMENTAL STATE,3,OTHER
PLANT TAXON,3,OTHER
AGRICULTURAL ACTIVITY,3,OTHER
DISEASE PRESSURE,3,OTHER
ANATOMICAL VARIATION,3,OTHER
GENE SET INTERSECTION,3,OTHER
PROTEIN-PROTEIN INTERACTION NETWORK,3,OTHER
LYMPHOCYTE FUNCTION,3,OTHER
CLINICAL OBSERVATION PARAMETERS,3,OTHER
VIABILITY STAIN,3,OTHER
INFLAMMATORY BOWEL CONDITION,3,OTHER
CELLULAR AGING PHENOTYPE,3,OTHER
TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY MEMBER,3,OTHER
T CELL COSTIMULATORY RECEPTOR,3,OTHER
OSA SYMPTOM,3,OTHER
CLINICAL DIAGNOSIS METHOD,3,OTHER
DIETARY QUALITY METRIC CHANGE,3,OTHER
HOST OXIDATIVE STATE,3,OTHER
CONTROL BEVERAGE,3,OTHER
AUTOPHAGY FLUX INHIBITOR,3,OTHER
BACTERIAL GENE PRODUCT,3,OTHER
CELLULAR PROCESS ACTIVATION,3,OTHER
CLINICAL TRIAL PARAMETER,3,OTHER
MECHANISTIC ANALYSIS,3,OTHER
PROPOSED RESEARCH DIRECTION,3,OTHER
ADDICTIVE BEHAVIOR,3,OTHER
RESEARCH PLANNING OUTCOME,3,OTHER
BIBLIOGRAPHIC DATA,3,OTHER
JOURNAL RANKING,3,OTHER
SUBSTANCE,3,OTHER
OPIOID DRUG CLASS,3,OTHER
HEPATIC PATHOLOGICAL PROCESS,3,OTHER
CELL-TYPE-SPECIFIC SIGNALING,3,OTHER
GENOMIC RESOURCE PROJECT,3,OTHER
BREEDING APPLICATION,3,OTHER
FUNCTIONAL UNDERSTANDING,3,OTHER
GENOME INTERPRETATION PROCESS,3,OTHER
